en,1596962165306494978,"why are there so many thirst traps on my timeline and why are they all ""wanna cardio at my place ;)"" GET AWAY",['1596962165306494978'],1437827239396003840,2022-11-27T20:20:24.000Z,
en,1596962165117755392,"RT @kylegriffin1: The White House responds: ""Bigotry, hate, and antisemitism have absolutely no place in America - including at Mar-A-Lago.…",['1596962165117755392'],797995330428174336,2022-11-27T20:20:24.000Z,
en,1596962163771731969,"RT @3Duefer: @jenndvc He's a gun owner, too. 

https://t.co/nX8StvPqCM",['1596962163771731969'],1505552418653630464,2022-11-27T20:20:24.000Z,
en,1596962163767513088,"RT @kylegriffin1: The White House responds: ""Bigotry, hate, and antisemitism have absolutely no place in America - including at Mar-A-Lago.…",['1596962163767513088'],87259041,2022-11-27T20:20:24.000Z,
en,1596962163306164225,"RT @bandisanjay_bjp: Is meeting people crime in #Telangana?

What is KCR regime scared of?

Why are we being stopped at every place?

Why i…",['1596962163306164225'],1310985385875566597,2022-11-27T20:20:24.000Z,
en,1596962162559229953,"RT @imMTS_: 3RD PLACE CONSOLE CHAMPIONS CUP FINALS ($10.000) 🦍🇵🇱

https://t.co/xBOaYJhd2x
https://t.co/xBOaYJhd2x https://t.co/u33rrGsGdN",['1596962162559229953'],1223970361647169536,2022-11-27T20:20:24.000Z,
en,1596962161825566720,"RT @deadpoet______: sometimes people need to understand that you are not ignoring them, you are just trying to exist in every quiet way pos…",['1596962161825566720'],3339909250,2022-11-27T20:20:24.000Z,
en,1596962160978014208,"@Melissa1opinion @DatoFreddy @kristyj70 @JoyceCreek @ArchAng48808288 @ThomasP3120 @re4joe @RyderLong7 @Boomr1223 @MikinessA @Traces_Place @keith0sta @13molon @ShadowMeli @BradADavis3 @poggydoggy @shana0326 @Mastersprout1 @slimefin @MoooPapa @WhalenMona @june9042 @JohnPot259 @RcWiksten @Tami28937663 @Dehneh1 @Robinhas5 @2HemiDude2 @NathanMitch12_ @what_shelly @moorela66180327 @smrose29 @s1_sparrow @Sweet_T2021 @cat_ahouligan @TimCamp03 @BehavioristBeth @JeffandJax1964 @mayalates @Jezzy1971Cuda @qfd_bruce @tx_blessed @italinquen @LGoodhorse @osalty136 @Carolyn143413 @LynwoodTalks @Boomr1222 Yes.  I certainly do, Melissa. 🥰",['1596962160978014208'],1297126263325437952,2022-11-27T20:20:23.000Z,
en,1596962159980081153,Can’t sleep every time I fall asleep  bad dream take place,['1596962159980081153'],2984410546,2022-11-27T20:20:23.000Z,
en,1596962159870648320,"RT @digitalmamabola: You are cordially invited to the plastic upcycling training, as part of our #SpeakUpStandOutNG project activity, takin…",['1596962159870648320'],2777172341,2022-11-27T20:20:23.000Z,
